Molecule_ID,SMILES,pGI50,Comment
Example_Molecule_001,CCO,5.5,inactive
Example_Molecule_002,CC(=O)OC1=CC=CC=C1C(=O)O,7.8,active
Example_Molecule_003,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,6.93,active
Example_Molecule_004,CC(C)NCC(C1=CC=CC=C1)O,6.39,active
Example_Molecule_005,CN(C)C1=CC=CC=C1,4.62,inactive
Example_Molecule_006,CCN(CC)CCOC1=CC=CC=C1,4.62,inactive
Example_Molecule_007,O=C(O)C1=CC=CC=C1O,4.23,inactive
Example_Molecule_008,CCOC1=CC=CC=C1,7.46,active
Example_Molecule_009,CC1=CC=CC=C1,6.4,active
Example_Molecule_010,C1=CC=C(C=C1)C=O,6.83,active
Example_Molecule_011,O=C(O)C1=CC=CC=C1,4.08,inactive
Example_Molecule_012,CC(C)C1=CC=C(C=C1)O,7.88,active
Example_Molecule_013,COC1=CC=CC=C1O,7.33,active
Example_Molecule_014,COC1=CC=CC=C1,4.85,inactive
Example_Molecule_015,CCOC(=O)C1=CC=CC=C1,4.73,inactive
Example_Molecule_016,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,4.73,inactive
Example_Molecule_017,CN1CCC(CC1)C2=CC=CC=C2,5.22,inactive
Example_Molecule_018,CC(C)(C)C1=CC=C(C=C1)O,6.1,active
Example_Molecule_019,CCOC(=O)N1CCC(CC1)C2=CC=CC=C2,5.73,inactive
Example_Molecule_020,O=C(NCC1=CC=CC=C1)C2=CC=CC=C2,5.16,inactive
Example_Molecule_021,CC(C)NCC1=CC=C(O)C=C1,6.45,active
Example_Molecule_022,CNC1=CC=CC=C1,4.56,inactive
Example_Molecule_023,CCOC1=CC=C(C=C1)N,5.17,inactive
Example_Molecule_024,NC1=CC=CC=C1,5.47,inactive
Example_Molecule_025,O=C(O)C1=CC=C(O)C=C1,5.82,inactive
Example_Molecule_026,CC1=CC=C(C=C1)O,7.14,active
Example_Molecule_027,COC1=CC=C(C=C1)O,4.8,inactive
Example_Molecule_028,O=C1NC=CC2=CC=CC=C12,6.06,active
Example_Molecule_029,C1=CC=C2C(=C1)C=CC=C2,6.37,active
Example_Molecule_030,C1=CC=C(C=C1)C2=CC=CC=C2,4.19,inactive
Example_Molecule_031,CC(C)C1=CC=CC=C1,6.43,active
Example_Molecule_032,CC(C)C(C)C1=CC=CC=C1,4.68,inactive
Example_Molecule_033,CC(C)OC1=CC=CC=C1,4.26,inactive
Example_Molecule_034,CCOC(=O)C(C)C,7.8,active
Example_Molecule_035,CC(C)C(=O)O,7.86,active
Example_Molecule_036,CC(=O)O,7.23,active
Example_Molecule_037,CC(C)O,5.22,inactive
Example_Molecule_038,CCCO,4.39,inactive
Example_Molecule_039,CCCCO,6.74,active
Example_Molecule_040,CCCC(=O)O,5.76,inactive
Example_Molecule_041,CCCCC,4.49,inactive
Example_Molecule_042,CCCCCC,5.98,active
Example_Molecule_043,CC(C)CC,4.14,inactive
Example_Molecule_044,C1CCCCC1,7.64,active
Example_Molecule_045,C1CCCCCC1,5.04,inactive
Example_Molecule_046,C1=CC=CC=C1Cl,6.65,active
Example_Molecule_047,C1=CC=C(C=C1)Br,5.25,inactive
Example_Molecule_048,C1=CC=C(C=C1)F,6.08,active
Example_Molecule_049,C1=CC=C(C=C1)N(=O)=O,6.19,active
Example_Molecule_050,O=[N+]([O-])C1=CC=CC=C1,4.74,inactive
Example_Molecule_051,CCN(CC)C1=CC=CC=C1,7.88,active
Example_Molecule_052,CN(C)C=O,7.1,active
Example_Molecule_053,CC(=O)NC1=CC=CC=C1,7.76,active
Example_Molecule_054,O=C(N)C1=CC=CC=C1,7.58,active
Example_Molecule_055,NCC1=CC=CC=C1,6.39,active
Example_Molecule_056,OC1=CC=CC=C1,7.69,active
Example_Molecule_057,CCOC1=CC=C(O)C=C1,4.35,inactive
Example_Molecule_058,CC1=CC=C(C=C1)C(=O)O,4.78,inactive
Example_Molecule_059,CC1=CC=C(C=C1)C=O,4.18,inactive
Example_Molecule_060,CCOC(=O)C1=CC=C(O)C=C1,5.3,inactive
