Molecule_ID,SMILES
Example_Molecule_001,CCO
Example_Molecule_002,CC(=O)OC1=CC=CC=C1C(=O)O
Example_Molecule_003,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
Example_Molecule_004,CC(C)NCC(C1=CC=CC=C1)O
Example_Molecule_005,CN(C)C1=CC=CC=C1
Example_Molecule_006,CCN(CC)CCOC1=CC=CC=C1
Example_Molecule_007,O=C(O)C1=CC=CC=C1O
Example_Molecule_008,CCOC1=CC=CC=C1
Example_Molecule_009,CC1=CC=CC=C1
Example_Molecule_010,C1=CC=C(C=C1)C=O
Example_Molecule_011,O=C(O)C1=CC=CC=C1
Example_Molecule_012,CC(C)C1=CC=C(C=C1)O
Example_Molecule_013,COC1=CC=CC=C1O
Example_Molecule_014,COC1=CC=CC=C1
Example_Molecule_015,CCOC(=O)C1=CC=CC=C1
Example_Molecule_016,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
Example_Molecule_017,CN1CCC(CC1)C2=CC=CC=C2
Example_Molecule_018,CC(C)(C)C1=CC=C(C=C1)O
Example_Molecule_019,CCOC(=O)N1CCC(CC1)C2=CC=CC=C2
Example_Molecule_020,O=C(NCC1=CC=CC=C1)C2=CC=CC=C2
Example_Molecule_021,CC(C)NCC1=CC=C(O)C=C1
Example_Molecule_022,CNC1=CC=CC=C1
Example_Molecule_023,CCOC1=CC=C(C=C1)N
Example_Molecule_024,NC1=CC=CC=C1
Example_Molecule_025,O=C(O)C1=CC=C(O)C=C1
Example_Molecule_026,CC1=CC=C(C=C1)O
Example_Molecule_027,COC1=CC=C(C=C1)O
Example_Molecule_028,O=C1NC=CC2=CC=CC=C12
Example_Molecule_029,C1=CC=C2C(=C1)C=CC=C2
Example_Molecule_030,C1=CC=C(C=C1)C2=CC=CC=C2
Example_Molecule_031,CC(C)C1=CC=CC=C1
Example_Molecule_032,CC(C)C(C)C1=CC=CC=C1
Example_Molecule_033,CC(C)OC1=CC=CC=C1
Example_Molecule_034,CCOC(=O)C(C)C
Example_Molecule_035,CC(C)C(=O)O
Example_Molecule_036,CC(=O)O
Example_Molecule_037,CC(C)O
Example_Molecule_038,CCCO
Example_Molecule_039,CCCCO
Example_Molecule_040,CCCC(=O)O
Example_Molecule_041,CCCCC
Example_Molecule_042,CCCCCC
Example_Molecule_043,CC(C)CC
Example_Molecule_044,C1CCCCC1
Example_Molecule_045,C1CCCCCC1
Example_Molecule_046,C1=CC=CC=C1Cl
Example_Molecule_047,C1=CC=C(C=C1)Br
Example_Molecule_048,C1=CC=C(C=C1)F
Example_Molecule_049,C1=CC=C(C=C1)N(=O)=O
Example_Molecule_050,O=[N+]([O-])C1=CC=CC=C1
Example_Molecule_051,CCN(CC)C1=CC=CC=C1
Example_Molecule_052,CN(C)C=O
Example_Molecule_053,CC(=O)NC1=CC=CC=C1
Example_Molecule_054,O=C(N)C1=CC=CC=C1
Example_Molecule_055,NCC1=CC=CC=C1
Example_Molecule_056,OC1=CC=CC=C1
Example_Molecule_057,CCOC1=CC=C(O)C=C1
Example_Molecule_058,CC1=CC=C(C=C1)C(=O)O
Example_Molecule_059,CC1=CC=C(C=C1)C=O
Example_Molecule_060,CCOC(=O)C1=CC=C(O)C=C1
